INFO:root:Shape weight: -2.72028
INFO:root:Loading drd3-actives-color_atom_overlaps.h5
INFO:root:0	(7.013399600982666, 25.155799865722656, 25.071199417114258)	5	rings	-0.430019
INFO:root:1	(9.3323335647583, 19.213666915893555, 22.382667541503906)	5	rings	-0.845703
INFO:root:2	(7.247000217437744, 15.987000465393066, 22.325000762939453)	6	hydrophobe	0.493128
INFO:root:3	(6.611999988555908, 19.010000228881836, 22.06399917602539)	2	acceptor	0.567365
INFO:root:4	(10.487000465393066, 21.545000076293945, 23.30299949645996)	2	acceptor	0.147154
INFO:root:5	(6.395999908447266, 21.320999145507812, 23.277000427246094)	2	acceptor	1.51219
INFO:root:6	(8.11299991607666, 22.719999313354492, 22.834999084472656)	1	donor	1.30525
INFO:root:7	(6.611999988555908, 19.010000228881836, 22.06399917602539)	1	donor	0.62187
INFO:root:8	(7.910999774932861, 24.3439998626709, 25.413000106811523)	1	donor	2.73246
INFO:root:9	(7.910999774932861, 24.3439998626709, 25.413000106811523)	3	cation	-2.38477
