INFO:root:Shape weight: 2.49171
INFO:root:Loading nram-actives-color_atom_overlaps.h5
INFO:root:0	(32.2515983581543, -7.072199821472168, 62.858802795410156)	5	rings	0.342873
INFO:root:1	(32.83883285522461, -10.37833309173584, 65.1036605834961)	5	rings	-3.57137
INFO:root:2	(27.948999404907227, -12.777999877929688, 62.91899871826172)	6	hydrophobe	-5.59656
INFO:root:3	(27.764999389648438, -8.531999588012695, 64.34400177001953)	6	hydrophobe	-3.03828
INFO:root:4	(31.70199966430664, -9.48799991607666, 60.92900085449219)	2	acceptor	1.12935
INFO:root:5	(35.1150016784668, -7.197000026702881, 63.435001373291016)	2	acceptor	0.839662
INFO:root:6	(32.077999114990234, -13.675999641418457, 66.59300231933594)	2	acceptor	-0.689296
INFO:root:7	(31.229999542236328, -6.841000080108643, 65.0770034790039)	2	acceptor	-1.10311
INFO:root:8	(34.1150016784668, -13.069999694824219, 67.28500366210938)	2	acceptor	1.31083
INFO:root:9	(30.483999252319336, -9.932999610900879, 63.64099884033203)	1	donor	0.254072
INFO:root:10	(31.70199966430664, -9.48799991607666, 60.92900085449219)	1	donor	-0.934297
INFO:root:11	(35.1150016784668, -7.197000026702881, 63.435001373291016)	1	donor	-1.69021
INFO:root:12	(33.1089973449707, -13.190333366394043, 66.84366607666016)	4	anion	-5.36692
